#,01июля2022,и,в,н,п,заб,про,разн,о
1,Арсенал,0,0,0,0,0,0,0,0
2,Астон Вілла,0,0,0,0,0,0,0,0
3,Борнмут,0,0,0,0,0,0,0,0
4,Брайтон,0,0,0,0,0,0,0,0
5,Брентфорд,0,0,0,0,0,0,0,0
6,Вест Гем,0,0,0,0,0,0,0,0
7,Вулвергемптон,0,0,0,0,0,0,0,0
8,Евертон,0,0,0,0,0,0,0,0
9,Крістал Пелес,0,0,0,0,0,0,0,0
10,Лестер,0,0,0,0,0,0,0,0
11,Ліверпуль,0,0,0,0,0,0,0,0
12,Лідс,0,0,0,0,0,0,0,0
13,Манчестер Сіті,0,0,0,0,0,0,0,0
14,Манчестер Юнайтед,0,0,0,0,0,0,0,0
15,Ноттінгем Форест,0,0,0,0,0,0,0,0
16,Ньюкасл Юнайтед,0,0,0,0,0,0,0,0
17,Саутгемптон,0,0,0,0,0,0,0,0
18,Тоттенгем,0,0,0,0,0,0,0,0
19,Фулгем,0,0,0,0,0,0,0,0
20,Челсі,0,0,0,0,0,0,0,0
