#,01 июля 2022,и,в,н,п,заб,про,разн,о
1,АЗ Алкмар,0,0,0,0,0,0,0,0
2,Аякс,0,0,0,0,0,0,0,0
3,Валвейк,0,0,0,0,0,0,0,0
4,Вітесс,0,0,0,0,0,0,0,0
5,Волендам,0,0,0,0,0,0,0,0
6,Гоу Ехед Іглс,0,0,0,0,0,0,0,0
7,Гронінген,0,0,0,0,0,0,0,0
8,Ексельсіор,0,0,0,0,0,0,0,0
9,Еммен,0,0,0,0,0,0,0,0
10,Камбур,0,0,0,0,0,0,0,0
11,Неймеген,0,0,0,0,0,0,0,0
12,ПСВ,0,0,0,0,0,0,0,0
13,Спарта Роттердам,0,0,0,0,0,0,0,0
14,Твенте,0,0,0,0,0,0,0,0
15,Утрехт,0,0,0,0,0,0,0,0
16,Феєнорд,0,0,0,0,0,0,0,0
17,Фортуна Сіттард,0,0,0,0,0,0,0,0
18,Херенвен,0,0,0,0,0,0,0,0
